Item #,Quantity,Designator,Part Number,Manufacturer Part Number,Description,Unit Price,Extended Price USD,
1,1,R1,2019-RN73H2ATTD1004B25CT-ND,RN73H2ATTD1004B25,RES 1M OHM 0.1% 1/8W 0805,0.33,0.33,
2,1,R2,311-5.60KCRCT-ND,RC0805FR-075K6L,RES 5.6K OHM 1% 1/8W 0805,0.1,0.10,
3,2,"R6, R7",RMCF0805FT10K0CT-ND,RMCF0805FT10K0,RES 10K OHM 1% 1/8W 0805,0.09,0.18,
4,1,R5,RMCF0805FT1K00CT-ND,RMCF0805FT1K00,RES 1K OHM 1% 1/8W 0805,0.09,0.09,
5,1,R4,RMCF0805FT750RCT-ND,RMCF0805FT750R,RES 750 OHM 1% 1/8W 0805,0.09,0.09,
6,1,R3,RMCF0805FT7K50CT-ND,RMCF0805FT7K50,RES 7.5K OHM 1% 1/8W 0805,0.09,0.09,
7,7,"C2, C3, C4, C5, C6, C7, C8",399-C0805C104K3RAC7800CT-ND,C0805C104K3RAC7800,CAP CER 0.1UF 25V X7R 0805,0.11,0.77,
8,1,C1,P15794CT-ND,EEA-GA1C470B,CAP ALUM 47UF 20% 16V RADIAL,0.33,0.33,
9,1,C1 SMD (Alt to C1),490-GRM31CR61C476ME44KCT-ND,GRM31CR61C476ME44K,CAP CER 47UF 16V X5R 1206,0.72,0.72,
10,2,"F1, F2",MFU08051.50CT-ND,MFU0805FF01500P100,FUSE BOARD MOUNT 1.5A 32VDC 0805,0.45,0.90,
11,1,U1,MX1720FC,,Nintendo IC Chip,,,
12,1,J2,,B094VG85LW,Controller Extension Cable or OEM Cord,10.99,10.99,
